表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
日東,名詞,固有名詞,組織,*,*,*,日東,ニットウ,ニットー,,沈没船の怪物,,0,0
サルベージ,名詞,一般,*,*,*,*,サルベージ,サルベージ,サルベージ,,沈没船の怪物,,0,0
会社,名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,,沈没船の怪物,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,0
沈没船,名詞,固有名詞,一般,*,*,*,沈没船,チンボツセン,チンボツセン,,沈没船の怪物,,0,0
引きあげ,名詞,一般,*,*,*,*,引き揚げ,ヒキアゲ,ヒキアゲ,,沈没船の怪物,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,沈没船の怪物,,0,0
ごと,名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト,,沈没船の怪物,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,沈没船の怪物,,0,0
、,記号,読点,*,*,*,*,、,、,、,,沈没船の怪物,,0,0
房総半島,名詞,固有名詞,一般,*,*,*,房総半島,ボウソウハントウ,ボーソーハントー,,沈没船の怪物,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,0
東,名詞,一般,*,*,*,*,東,ヒガシ,ヒガシ,,沈没船の怪物,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,沈没船の怪物,,0,0
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,,沈没船の怪物,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,沈没船の怪物,,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,沈没船の怪物,,0,0
大戸,名詞,固有名詞,地域,一般,*,*,大戸,オオド,オード,,沈没船の怪物,,0,0
村,名詞,接尾,地域,*,*,*,村,ムラ,ムラ,,沈没船の怪物,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,0
沖あい,名詞,一般,*,*,*,*,沖合い,オキアイ,オキアイ,,沈没船の怪物,,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,沈没船の怪物,,0,0
おこなわ,動詞,自立,*,*,五段・ワ行促音便,未然形,おこなう,オコナワ,オコナワ,,沈没船の怪物,,0,0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,沈没船の怪物,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,沈没船の怪物,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,沈没船の怪物,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,沈没船の怪物,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,沈没船の怪物,,0,0
。,記号,句点,*,*,*,*,。,。,。,,沈没船の怪物,,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,沈没船の怪物,,0,1
海の底,名詞,固有名詞,一般,*,*,*,海の底,ウミノソコ,ウミノソコ,,沈没船の怪物,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,沈没船の怪物,,0,1
、,記号,読点,*,*,*,*,、,、,、,,沈没船の怪物,,0,1
東洋汽船,名詞,固有名詞,一般,*,*,*,東洋汽船,トウヨウキセン,トーヨーキセン,,沈没船の怪物,,0,1
会社,名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,,沈没船の怪物,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,1
千,名詞,数,*,*,*,*,千,セン,セン,,沈没船の怪物,,0,1
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,沈没船の怪物,,0,1
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,,沈没船の怪物,,0,1
トン,名詞,接尾,助数詞,*,*,*,トン,トン,トン,,沈没船の怪物,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,1
貨物船,名詞,固有名詞,一般,*,*,*,貨物船,カモツセン,カモツセン,,沈没船の怪物,,0,1
「,記号,括弧開,*,*,*,*,「,「,「,,沈没船の怪物,,0,1
あしび,名詞,一般,*,*,*,*,あしび,アシビ,アシビ,,沈没船の怪物,,0,1
き,助動詞,*,*,*,文語・キ,基本形,き,キ,キ,,沈没船の怪物,,0,1
丸,名詞,一般,*,*,*,*,丸,マル,マル,,沈没船の怪物,,0,1
」,記号,括弧閉,*,*,*,*,」,」,」,,沈没船の怪物,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,沈没船の怪物,,0,1
沈没,名詞,サ変接続,*,*,*,*,沈没,チンボツ,チンボツ,,沈没船の怪物,,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,沈没船の怪物,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,沈没船の怪物,,0,1
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,沈没船の怪物,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,沈没船の怪物,,0,1
。,記号,句点,*,*,*,*,。,。,。,,沈没船の怪物,,0,1
ひと月,名詞,一般,*,*,*,*,ひと月,ヒトツキ,ヒトツキ,,沈没船の怪物,,0,2
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,,沈没船の怪物,,0,2
まえ,動詞,自立,*,*,一段,連用形,まえる,マエ,マエ,,沈没船の怪物,,0,2
のあらし,名詞,一般,*,*,*,*,野荒し,ノアラシ,ノアラシ,,沈没船の怪物,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,2
晩,名詞,一般,*,*,*,*,晩,バン,バン,,沈没船の怪物,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,沈没船の怪物,,0,2
、,記号,読点,*,*,*,*,、,、,、,,沈没船の怪物,,0,2
「,記号,括弧開,*,*,*,*,「,「,「,,沈没船の怪物,,0,2
あしび,名詞,一般,*,*,*,*,あしび,アシビ,アシビ,,沈没船の怪物,,0,2
き,助動詞,*,*,*,文語・キ,基本形,き,キ,キ,,沈没船の怪物,,0,2
丸,名詞,一般,*,*,*,*,丸,マル,マル,,沈没船の怪物,,0,2
」,記号,括弧閉,*,*,*,*,」,」,」,,沈没船の怪物,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,沈没船の怪物,,0,2
航路,名詞,一般,*,*,*,*,航路,コウロ,コーロ,,沈没船の怪物,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,沈没船の怪物,,0,2
まちがえ,動詞,自立,*,*,一段,連用形,まちがえる,マチガエ,マチガエ,,沈没船の怪物,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,沈没船の怪物,,0,2
、,記号,読点,*,*,*,*,、,、,、,,沈没船の怪物,,0,2
海,名詞,一般,*,*,*,*,海,ウミ,ウミ,,沈没船の怪物,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,2
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,,沈没船の怪物,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,沈没船の怪物,,0,2
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,,沈没船の怪物,,0,2
岩,名詞,一般,*,*,*,*,岩,イワ,イワ,,沈没船の怪物,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,沈没船の怪物,,0,2
